op,in_shapes,out_shape,H,D,NH,NKV,T,Tk,I,V,M,K,N,backend,device,avg_ms
FLASH_ATTN_EXT,"Q{64,16,256,1}; KV{64,256,8,1}","{64,16,256,1}",1024,64,16,8,256,256,,,,,,cpu-ggml,host,0.934
FLASH_ATTN_EXT,"Q{64,16,256,1}; KV{64,2048,16,1}","{64,16,256,1}",1024,64,16,16,256,2048,,,,,,cpu-ggml,host,5.928
FLASH_ATTN_EXT,"Q{64,16,256,1}; KV{64,2048,1,1}","{64,16,256,1}",1024,64,16,1,256,2048,,,,,,cpu-ggml,host,5.961
FLASH_ATTN_EXT,"Q{64,16,256,1}; KV{64,2048,8,1}","{64,16,256,1}",1024,64,16,8,256,2048,,,,,,cpu-ggml,host,4.668
FLASH_ATTN_EXT,"Q{64,16,256,1}; KV{64,8192,16,1}","{64,16,256,1}",1024,64,16,16,256,8192,,,,,,cpu-ggml,host,33.727
FLASH_ATTN_EXT,"Q{64,16,256,1}; KV{64,8192,1,1}","{64,16,256,1}",1024,64,16,1,256,8192,,,,,,cpu-ggml,host,28.890
FLASH_ATTN_EXT,"Q{64,16,256,1}; KV{64,8192,8,1}","{64,16,256,1}",1024,64,16,8,256,8192,,,,,,cpu-ggml,host,25.793
FLASH_ATTN_EXT,"Q{64,16,1024,1}; KV{64,256,16,1}","{64,16,1024,1}",1024,64,16,16,1024,256,,,,,,cpu-ggml,host,3.825
FLASH_ATTN_EXT,"Q{64,16,1024,1}; KV{64,256,1,1}","{64,16,1024,1}",1024,64,16,1,1024,256,,,,,,cpu-ggml,host,3.733
FLASH_ATTN_EXT,"Q{64,16,1024,1}; KV{64,256,8,1}","{64,16,1024,1}",1024,64,16,8,1024,256,,,,,,cpu-ggml,host,3.846
FLASH_ATTN_EXT,"Q{64,16,1024,1}; KV{64,2048,16,1}","{64,16,1024,1}",1024,64,16,16,1024,2048,,,,,,cpu-ggml,host,20.306
FLASH_ATTN_EXT,"Q{64,16,1024,1}; KV{64,2048,1,1}","{64,16,1024,1}",1024,64,16,1,1024,2048,,,,,,cpu-ggml,host,23.969
FLASH_ATTN_EXT,"Q{64,16,1024,1}; KV{64,2048,8,1}","{64,16,1024,1}",1024,64,16,8,1024,2048,,,,,,cpu-ggml,host,27.630
FLASH_ATTN_EXT,"Q{64,16,1024,1}; KV{64,8192,16,1}","{64,16,1024,1}",1024,64,16,16,1024,8192,,,,,,cpu-ggml,host,113.099
FLASH_ATTN_EXT,"Q{64,16,1024,1}; KV{64,8192,1,1}","{64,16,1024,1}",1024,64,16,1,1024,8192,,,,,,cpu-ggml,host,122.792
FLASH_ATTN_EXT,"Q{64,16,1024,1}; KV{64,8192,8,1}","{64,16,1024,1}",1024,64,16,8,1024,8192,,,,,,cpu-ggml,host,91.129
FLASH_ATTN_EXT,"Q{32,32,4,1}; KV{32,256,32,1}","{32,32,4,1}",1024,32,32,32,4,256,,,,,,cpu-ggml,host,0.013
FLASH_ATTN_EXT,"Q{32,32,4,1}; KV{32,256,1,1}","{32,32,4,1}",1024,32,32,1,4,256,,,,,,cpu-ggml,host,0.017
FLASH_ATTN_EXT,"Q{32,32,4,1}; KV{32,256,16,1}","{32,32,4,1}",1024,32,32,16,4,256,,,,,,cpu-ggml,host,0.014
FLASH_ATTN_EXT,"Q{32,32,4,1}; KV{32,2048,32,1}","{32,32,4,1}",1024,32,32,32,4,2048,,,,,,cpu-ggml,host,0.119
FLASH_ATTN_EXT,"Q{32,32,4,1}; KV{32,2048,1,1}","{32,32,4,1}",1024,32,32,1,4,2048,,,,,,cpu-ggml,host,0.105
FLASH_ATTN_EXT,"Q{32,32,4,1}; KV{32,2048,16,1}","{32,32,4,1}",1024,32,32,16,4,2048,,,,,,cpu-ggml,host,0.117
FLASH_ATTN_EXT,"Q{32,32,4,1}; KV{32,8192,32,1}","{32,32,4,1}",1024,32,32,32,4,8192,,,,,,cpu-ggml,host,0.533
FLASH_ATTN_EXT,"Q{32,32,4,1}; KV{32,8192,1,1}","{32,32,4,1}",1024,32,32,1,4,8192,,,,,,cpu-ggml,host,0.426
FLASH_ATTN_EXT,"Q{32,32,4,1}; KV{32,8192,16,1}","{32,32,4,1}",1024,32,32,16,4,8192,,,,,,cpu-ggml,host,0.496
FLASH_ATTN_EXT,"Q{32,32,64,1}; KV{32,256,32,1}","{32,32,64,1}",1024,32,32,32,64,256,,,,,,cpu-ggml,host,0.182
FLASH_ATTN_EXT,"Q{32,32,64,1}; KV{32,256,1,1}","{32,32,64,1}",1024,32,32,1,64,256,,,,,,cpu-ggml,host,0.228
FLASH_ATTN_EXT,"Q{32,32,64,1}; KV{32,256,16,1}","{32,32,64,1}",1024,32,32,16,64,256,,,,,,cpu-ggml,host,0.238
FLASH_ATTN_EXT,"Q{32,32,64,1}; KV{32,2048,32,1}","{32,32,64,1}",1024,32,32,32,64,2048,,,,,,cpu-ggml,host,1.488
FLASH_ATTN_EXT,"Q{32,32,64,1}; KV{32,2048,1,1}","{32,32,64,1}",1024,32,32,1,64,2048,,,,,,cpu-ggml,host,1.954
FLASH_ATTN_EXT,"Q{32,32,64,1}; KV{32,2048,16,1}","{32,32,64,1}",1024,32,32,16,64,2048,,,,,,cpu-ggml,host,1.508
FLASH_ATTN_EXT,"Q{32,32,64,1}; KV{32,8192,32,1}","{32,32,64,1}",1024,32,32,32,64,8192,,,,,,cpu-ggml,host,5.900
FLASH_ATTN_EXT,"Q{32,32,64,1}; KV{32,8192,1,1}","{32,32,64,1}",1024,32,32,1,64,8192,,,,,,cpu-ggml,host,6.710
FLASH_ATTN_EXT,"Q{32,32,64,1}; KV{32,8192,16,1}","{32,32,64,1}",1024,32,32,16,64,8192,,,,,,cpu-ggml,host,8.656
FLASH_ATTN_EXT,"Q{32,32,256,1}; KV{32,256,32,1}","{32,32,256,1}",1024,32,32,32,256,256,,,,,,cpu-ggml,host,0.878
FLASH_ATTN_EXT,"Q{32,32,256,1}; KV{32,256,1,1}","{32,32,256,1}",1024,32,32,1,256,256,,,,,,cpu-ggml,host,0.957
FLASH_ATTN_EXT,"Q{32,32,256,1}; KV{32,256,16,1}","{32,32,256,1}",1024,32,32,16,256,256,,,,,,cpu-ggml,host,0.747
FLASH_ATTN_EXT,"Q{32,32,256,1}; KV{32,2048,32,1}","{32,32,256,1}",1024,32,32,32,256,2048,,,,,,cpu-ggml,host,6.789
FLASH_ATTN_EXT,"Q{32,32,256,1}; KV{32,2048,1,1}","{32,32,256,1}",1024,32,32,1,256,2048,,,,,,cpu-ggml,host,5.527
FLASH_ATTN_EXT,"Q{32,32,256,1}; KV{32,2048,16,1}","{32,32,256,1}",1024,32,32,16,256,2048,,,,,,cpu-ggml,host,6.136
FLASH_ATTN_EXT,"Q{32,32,256,1}; KV{32,8192,32,1}","{32,32,256,1}",1024,32,32,32,256,8192,,,,,,cpu-ggml,host,30.208
FLASH_ATTN_EXT,"Q{32,32,256,1}; KV{32,8192,1,1}","{32,32,256,1}",1024,32,32,1,256,8192,,,,,,cpu-ggml,host,26.689
FLASH_ATTN_EXT,"Q{32,32,256,1}; KV{32,8192,16,1}","{32,32,256,1}",1024,32,32,16,256,8192,,,,,,cpu-ggml,host,32.687
FLASH_ATTN_EXT,"Q{32,32,1024,1}; KV{32,256,32,1}","{32,32,1024,1}",1024,32,32,32,1024,256,,,,,,cpu-ggml,host,3.254
FLASH_ATTN_EXT,"Q{32,32,1024,1}; KV{32,256,1,1}","{32,32,1024,1}",1024,32,32,1,1024,256,,,,,,cpu-ggml,host,3.256
FLASH_ATTN_EXT,"Q{32,32,1024,1}; KV{32,256,16,1}","{32,32,1024,1}",1024,32,32,16,1024,256,,,,,,cpu-ggml,host,3.998
FLASH_ATTN_EXT,"Q{32,32,1024,1}; KV{32,2048,32,1}","{32,32,1024,1}",1024,32,32,32,1024,2048,,,,,,cpu-ggml,host,24.232
FLASH_ATTN_EXT,"Q{32,32,1024,1}; KV{32,2048,1,1}","{32,32,1024,1}",1024,32,32,1,1024,2048,,,,,,cpu-ggml,host,20.724
FLASH_ATTN_EXT,"Q{32,32,1024,1}; KV{32,2048,16,1}","{32,32,1024,1}",1024,32,32,16,1024,2048,,,,,,cpu-ggml,host,32.083
FLASH_ATTN_EXT,"Q{32,32,1024,1}; KV{32,8192,32,1}","{32,32,1024,1}",1024,32,32,32,1024,8192,,,,,,cpu-ggml,host,114.045
FLASH_ATTN_EXT,"Q{32,32,1024,1}; KV{32,8192,1,1}","{32,32,1024,1}",1024,32,32,1,1024,8192,,,,,,cpu-ggml,host,72.501
FLASH_ATTN_EXT,"Q{32,32,1024,1}; KV{32,8192,16,1}","{32,32,1024,1}",1024,32,32,16,1024,8192,,,,,,cpu-ggml,host,108.091
FLASH_ATTN_EXT,"Q{256,8,4,1}; KV{256,256,8,1}","{256,8,4,1}",2048,256,8,8,4,256,,,,,,cpu-ggml,host,0.025
FLASH_ATTN_EXT,"Q{256,8,4,1}; KV{256,256,1,1}","{256,8,4,1}",2048,256,8,1,4,256,,,,,,cpu-ggml,host,0.033
FLASH_ATTN_EXT,"Q{256,8,4,1}; KV{256,256,4,1}","{256,8,4,1}",2048,256,8,4,4,256,,,,,,cpu-ggml,host,0.023
FLASH_ATTN_EXT,"Q{256,8,4,1}; KV{256,2048,8,1}","{256,8,4,1}",2048,256,8,8,4,2048,,,,,,cpu-ggml,host,0.191
FLASH_ATTN_EXT,"Q{256,8,4,1}; KV{256,2048,1,1}","{256,8,4,1}",2048,256,8,1,4,2048,,,,,,cpu-ggml,host,0.181
FLASH_ATTN_EXT,"Q{256,8,4,1}; KV{256,2048,4,1}","{256,8,4,1}",2048,256,8,4,4,2048,,,,,,cpu-ggml,host,0.177
FLASH_ATTN_EXT,"Q{256,8,4,1}; KV{256,8192,8,1}","{256,8,4,1}",2048,256,8,8,4,8192,,,,,,cpu-ggml,host,0.751
FLASH_ATTN_EXT,"Q{256,8,4,1}; KV{256,8192,1,1}","{256,8,4,1}",2048,256,8,1,4,8192,,,,,,cpu-ggml,host,0.658
FLASH_ATTN_EXT,"Q{256,8,4,1}; KV{256,8192,4,1}","{256,8,4,1}",2048,256,8,4,4,8192,,,,,,cpu-ggml,host,0.709
FLASH_ATTN_EXT,"Q{256,8,64,1}; KV{256,256,8,1}","{256,8,64,1}",2048,256,8,8,64,256,,,,,,cpu-ggml,host,0.318
FLASH_ATTN_EXT,"Q{256,8,64,1}; KV{256,256,1,1}","{256,8,64,1}",2048,256,8,1,64,256,,,,,,cpu-ggml,host,0.325
FLASH_ATTN_EXT,"Q{256,8,64,1}; KV{256,256,4,1}","{256,8,64,1}",2048,256,8,4,64,256,,,,,,cpu-ggml,host,0.321
FLASH_ATTN_EXT,"Q{256,8,64,1}; KV{256,2048,8,1}","{256,8,64,1}",2048,256,8,8,64,2048,,,,,,cpu-ggml,host,3.093
FLASH_ATTN_EXT,"Q{256,8,64,1}; KV{256,2048,1,1}","{256,8,64,1}",2048,256,8,1,64,2048,,,,,,cpu-ggml,host,3.011
FLASH_ATTN_EXT,"Q{256,8,64,1}; KV{256,2048,4,1}","{256,8,64,1}",2048,256,8,4,64,2048,,,,,,cpu-ggml,host,2.738
FLASH_ATTN_EXT,"Q{256,8,64,1}; KV{256,8192,8,1}","{256,8,64,1}",2048,256,8,8,64,8192,,,,,,cpu-ggml,host,14.385
FLASH_ATTN_EXT,"Q{256,8,64,1}; KV{256,8192,1,1}","{256,8,64,1}",2048,256,8,1,64,8192,,,,,,cpu-ggml,host,13.325
FLASH_ATTN_EXT,"Q{256,8,64,1}; KV{256,8192,4,1}","{256,8,64,1}",2048,256,8,4,64,8192,,,,,,cpu-ggml,host,12.552
FLASH_ATTN_EXT,"Q{256,8,256,1}; KV{256,256,8,1}","{256,8,256,1}",2048,256,8,8,256,256,,,,,,cpu-ggml,host,1.561
FLASH_ATTN_EXT,"Q{256,8,256,1}; KV{256,256,1,1}","{256,8,256,1}",2048,256,8,1,256,256,,,,,,cpu-ggml,host,2.079
FLASH_ATTN_EXT,"Q{256,8,256,1}; KV{256,256,4,1}","{256,8,256,1}",2048,256,8,4,256,256,,,,,,cpu-ggml,host,1.738
FLASH_ATTN_EXT,"Q{256,8,256,1}; KV{256,2048,8,1}","{256,8,256,1}",2048,256,8,8,256,2048,,,,,,cpu-ggml,host,14.379
FLASH_ATTN_EXT,"Q{256,8,256,1}; KV{256,2048,1,1}","{256,8,256,1}",2048,256,8,1,256,2048,,,,,,cpu-ggml,host,8.215
FLASH_ATTN_EXT,"Q{256,8,256,1}; KV{256,2048,4,1}","{256,8,256,1}",2048,256,8,4,256,2048,,,,,,cpu-ggml,host,12.106
