kind,cpus,n_cpus,load_pct,repeat,status,generation_decode_ms,elapsed_s,log
multi,"60,61",2,90,0,ok,91.8985,0.8521826267242432,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_load90_rep0.log
multi,"60,61,62,63",4,90,0,ok,47.3507,0.7666881084442139,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_load90_rep0.log
multi,"60,61,62,63,64,65",6,90,0,ok,36.1339,0.8302865028381348,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_64_65_load90_rep0.log
multi,"60,61,62,63,64,65,66,67",8,90,0,ok,32.3058,0.7629716396331787,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_64_65_66_67_load90_rep0.log
multi,"60,62",2,90,0,ok,85.9401,0.862421989440918,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_62_load90_rep0.log
multi,"61,63",2,90,0,ok,87.9325,0.8570876121520996,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_61_63_load90_rep0.log
multi,"60,61",2,100,0,ok,86.9875,0.8376293182373047,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_load100_rep0.log
multi,"60,61,62,63",4,100,0,ok,53.7504,0.7495040893554688,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_load100_rep0.log
multi,"60,61,62,63,64,65",6,100,0,ok,43.3606,0.7350969314575195,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_64_65_load100_rep0.log
multi,"60,61,62,63,64,65,66,67",8,100,0,ok,37.0624,0.7359130382537842,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_64_65_66_67_load100_rep0.log
multi,"60,62",2,100,0,ok,92.7002,0.861598014831543,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_62_load100_rep0.log
multi,"61,63",2,100,0,ok,87.602,0.8360991477966309,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_61_63_load100_rep0.log
