op,in_shapes,out_shape,D,T,H,G,backend,device,avg_ms
VIEW_4D,"{256,4,16,4}","{256,4,16,4}",256,4,16,4,cpu-ggml,host,0.000970
VIEW_4D,"{256,4,16,8}","{256,4,16,8}",256,4,16,8,cpu-ggml,host,0.000972
VIEW_4D,"{256,64,2,1}","{256,64,2,1}",256,64,2,1,cpu-ggml,host,0.000966
VIEW_4D,"{256,64,2,2}","{256,64,2,2}",256,64,2,2,cpu-ggml,host,0.001041
VIEW_4D,"{256,64,2,4}","{256,64,2,4}",256,64,2,4,cpu-ggml,host,0.000967
VIEW_4D,"{256,64,2,8}","{256,64,2,8}",256,64,2,8,cpu-ggml,host,0.000968
VIEW_4D,"{256,64,4,1}","{256,64,4,1}",256,64,4,1,cpu-ggml,host,0.000968
VIEW_4D,"{256,64,4,2}","{256,64,4,2}",256,64,4,2,cpu-ggml,host,0.000967
VIEW_4D,"{256,64,4,4}","{256,64,4,4}",256,64,4,4,cpu-ggml,host,0.000968
VIEW_4D,"{256,64,4,8}","{256,64,4,8}",256,64,4,8,cpu-ggml,host,0.000984
VIEW_4D,"{256,64,8,1}","{256,64,8,1}",256,64,8,1,cpu-ggml,host,0.001195
VIEW_4D,"{256,64,8,2}","{256,64,8,2}",256,64,8,2,cpu-ggml,host,0.000969
VIEW_4D,"{256,64,8,4}","{256,64,8,4}",256,64,8,4,cpu-ggml,host,0.000990
VIEW_4D,"{256,64,8,8}","{256,64,8,8}",256,64,8,8,cpu-ggml,host,0.001029
VIEW_4D,"{256,64,16,1}","{256,64,16,1}",256,64,16,1,cpu-ggml,host,0.001016
VIEW_4D,"{256,64,16,2}","{256,64,16,2}",256,64,16,2,cpu-ggml,host,0.001000
VIEW_4D,"{256,64,16,4}","{256,64,16,4}",256,64,16,4,cpu-ggml,host,0.001017
VIEW_4D,"{256,64,16,8}","{256,64,16,8}",256,64,16,8,cpu-ggml,host,0.001076
VIEW_4D,"{256,256,2,1}","{256,256,2,1}",256,256,2,1,cpu-ggml,host,0.000981
VIEW_4D,"{256,256,2,2}","{256,256,2,2}",256,256,2,2,cpu-ggml,host,0.000970
VIEW_4D,"{256,256,2,4}","{256,256,2,4}",256,256,2,4,cpu-ggml,host,0.000992
VIEW_4D,"{256,256,2,8}","{256,256,2,8}",256,256,2,8,cpu-ggml,host,0.001044
VIEW_4D,"{256,256,4,1}","{256,256,4,1}",256,256,4,1,cpu-ggml,host,0.000985
VIEW_4D,"{256,256,4,2}","{256,256,4,2}",256,256,4,2,cpu-ggml,host,0.000998
VIEW_4D,"{256,256,4,4}","{256,256,4,4}",256,256,4,4,cpu-ggml,host,0.001026
VIEW_4D,"{256,256,4,8}","{256,256,4,8}",256,256,4,8,cpu-ggml,host,0.001040
VIEW_4D,"{256,256,8,1}","{256,256,8,1}",256,256,8,1,cpu-ggml,host,0.001030
VIEW_4D,"{256,256,8,2}","{256,256,8,2}",256,256,8,2,cpu-ggml,host,0.001045
VIEW_4D,"{256,256,8,4}","{256,256,8,4}",256,256,8,4,cpu-ggml,host,0.003995
VIEW_4D,"{256,256,8,8}","{256,256,8,8}",256,256,8,8,cpu-ggml,host,0.001064
VIEW_4D,"{256,256,16,1}","{256,256,16,1}",256,256,16,1,cpu-ggml,host,0.001117
VIEW_4D,"{256,256,16,2}","{256,256,16,2}",256,256,16,2,cpu-ggml,host,0.001068
VIEW_4D,"{256,256,16,4}","{256,256,16,4}",256,256,16,4,cpu-ggml,host,0.002411
VIEW_4D,"{256,256,16,8}","{256,256,16,8}",256,256,16,8,cpu-ggml,host,0.001102
VIEW_4D,"{256,1024,2,1}","{256,1024,2,1}",256,1024,2,1,cpu-ggml,host,0.001032
VIEW_4D,"{256,1024,2,2}","{256,1024,2,2}",256,1024,2,2,cpu-ggml,host,0.001318
