op,in_shapes,out_shape,D,T,H,group,backend,device,avg_ms
VIEW_3D,"{64,64,2,8}","{512,64,2}",64,64,2,8,cpu-ggml,host,0.000976
VIEW_3D,"{64,64,4,1}","{64,64,4}",64,64,4,1,cpu-ggml,host,0.000968
VIEW_3D,"{64,64,4,2}","{128,64,4}",64,64,4,2,cpu-ggml,host,0.000974
VIEW_3D,"{64,64,4,4}","{256,64,4}",64,64,4,4,cpu-ggml,host,0.000971
VIEW_3D,"{64,64,4,8}","{512,64,4}",64,64,4,8,cpu-ggml,host,0.000969
VIEW_3D,"{64,64,8,1}","{64,64,8}",64,64,8,1,cpu-ggml,host,0.000970
VIEW_3D,"{64,64,8,2}","{128,64,8}",64,64,8,2,cpu-ggml,host,0.000972
VIEW_3D,"{64,64,8,4}","{256,64,8}",64,64,8,4,cpu-ggml,host,0.000970
VIEW_3D,"{64,64,8,8}","{512,64,8}",64,64,8,8,cpu-ggml,host,0.000973
VIEW_3D,"{64,64,16,1}","{64,64,16}",64,64,16,1,cpu-ggml,host,0.000970
VIEW_3D,"{64,64,16,2}","{128,64,16}",64,64,16,2,cpu-ggml,host,0.000972
VIEW_3D,"{64,64,16,4}","{256,64,16}",64,64,16,4,cpu-ggml,host,0.000971
VIEW_3D,"{64,64,16,8}","{512,64,16}",64,64,16,8,cpu-ggml,host,0.001156
VIEW_3D,"{64,256,2,1}","{64,256,2}",64,256,2,1,cpu-ggml,host,0.000969
VIEW_3D,"{64,256,2,2}","{128,256,2}",64,256,2,2,cpu-ggml,host,0.000976
VIEW_3D,"{64,256,2,4}","{256,256,2}",64,256,2,4,cpu-ggml,host,0.000976
VIEW_3D,"{64,256,2,8}","{512,256,2}",64,256,2,8,cpu-ggml,host,0.000970
VIEW_3D,"{64,256,4,1}","{64,256,4}",64,256,4,1,cpu-ggml,host,0.000971
VIEW_3D,"{64,256,4,2}","{128,256,4}",64,256,4,2,cpu-ggml,host,0.001070
VIEW_3D,"{64,256,4,4}","{256,256,4}",64,256,4,4,cpu-ggml,host,0.001003
VIEW_3D,"{64,256,4,8}","{512,256,4}",64,256,4,8,cpu-ggml,host,0.000997
VIEW_3D,"{64,256,8,1}","{64,256,8}",64,256,8,1,cpu-ggml,host,0.000972
VIEW_3D,"{64,256,8,2}","{128,256,8}",64,256,8,2,cpu-ggml,host,0.001468
VIEW_3D,"{64,256,8,4}","{256,256,8}",64,256,8,4,cpu-ggml,host,0.000983
VIEW_3D,"{64,256,8,8}","{512,256,8}",64,256,8,8,cpu-ggml,host,0.001018
VIEW_3D,"{64,256,16,1}","{64,256,16}",64,256,16,1,cpu-ggml,host,0.000990
