row_id,split,source,name,cpus,load_vector,Q_pct,latency_ms
119,train,uniform_multi,multi_60_61_62_63_load50,"60,61,62,63","60:50,61:50,62:50,63:50",100,51.3744
120,train,uniform_multi,multi_60_61_62_63_64_65_load50,"60,61,62,63,64,65","60:50,61:50,62:50,63:50,64:50,65:50",100,38.2016
121,train,uniform_multi,multi_60_61_62_63_64_65_66_67_load50,"60,61,62,63,64,65,66,67","60:50,61:50,62:50,63:50,64:50,65:50,66:50,67:50",100,31.8804
122,train,uniform_multi,multi_60_62_load50,"60,62","60:50,62:50",100,81.4154
123,train,uniform_multi,multi_61_63_load50,"61,63","61:50,63:50",100,91.0356
124,test,uniform_multi,multi_60_61_load60,"60,61","60:60,61:60",100,91.8081
125,train,uniform_multi,multi_60_61_62_63_load60,"60,61,62,63","60:60,61:60,62:60,63:60",100,51.4198
126,train,uniform_multi,multi_60_61_62_63_64_65_load60,"60,61,62,63,64,65","60:60,61:60,62:60,63:60,64:60,65:60",100,36.9145
127,train,uniform_multi,multi_60_61_62_63_64_65_66_67_load60,"60,61,62,63,64,65,66,67","60:60,61:60,62:60,63:60,64:60,65:60,66:60,67:60",100,35.1541
128,train,uniform_multi,multi_60_62_load60,"60,62","60:60,62:60",100,86.3118
129,train,uniform_multi,multi_61_63_load60,"61,63","61:60,63:60",100,89.1878
130,train,uniform_multi,multi_60_61_load70,"60,61","60:70,61:70",100,85.1363
131,train,uniform_multi,multi_60_61_62_63_load70,"60,61,62,63","60:70,61:70,62:70,63:70",100,47.2307
132,train,uniform_multi,multi_60_61_62_63_64_65_load70,"60,61,62,63,64,65","60:70,61:70,62:70,63:70,64:70,65:70",100,36.417
133,train,uniform_multi,multi_60_61_62_63_64_65_66_67_load70,"60,61,62,63,64,65,66,67","60:70,61:70,62:70,63:70,64:70,65:70,66:70,67:70",100,31.783
134,test,uniform_multi,multi_60_62_load70,"60,62","60:70,62:70",100,86.382
135,test,uniform_multi,multi_61_63_load70,"61,63","61:70,63:70",100,85.9322
136,train,uniform_multi,multi_60_61_load80,"60,61","60:80,61:80",100,84.3778
137,train,uniform_multi,multi_60_61_62_63_load80,"60,61,62,63","60:80,61:80,62:80,63:80",100,49.8486
138,train,uniform_multi,multi_60_61_62_63_64_65_load80,"60,61,62,63,64,65","60:80,61:80,62:80,63:80,64:80,65:80",100,36.9135
139,train,uniform_multi,multi_60_61_62_63_64_65_66_67_load80,"60,61,62,63,64,65,66,67","60:80,61:80,62:80,63:80,64:80,65:80,66:80,67:80",100,32.4744
140,train,uniform_multi,multi_60_62_load80,"60,62","60:80,62:80",100,85.1888
141,train,uniform_multi,multi_61_63_load80,"61,63","61:80,63:80",100,90.7623
142,train,uniform_multi,multi_60_61_load90,"60,61","60:90,61:90",100,91.8985
143,train,uniform_multi,multi_60_61_62_63_load90,"60,61,62,63","60:90,61:90,62:90,63:90",100,47.3507
